[INFO] [2021-08-29 13:11:19] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 1.15.226.19:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-08-29 13:11:19] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 1.15.226.19:20200
[INFO] [2021-08-29 13:11:19] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:1.15.226.19:20200
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : 08a16234627f47068444baa6064f8791, msgType : 18
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.<init>(45) | insert group: 1 for peer 1.15.226.19:20200
[DEBUG] [2021-08-29 13:11:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 1.15.226.19:20200, groupInfo: [1]
[DEBUG] [2021-08-29 13:11:19] TopicManager.updateBlockNotify(163) | add block notify, peer: 1.15.226.19:20200, topic: _block_notify_1
[INFO] [2021-08-29 13:11:19] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-08-29 13:11:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:1.15.226.19:20200, topics:["_block_notify_1"]
[DEBUG] [2021-08-29 13:11:19] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[1.15.226.19:20200]
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : a6a70fe6baa24f39bbf78ff6aa9c972c, msgType : 18
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 1.15.226.19:20200, updated blockNumber: 35, groupId: 1
[DEBUG] [2021-08-29 13:11:19] SslHandler.setHandshakeSuccess(1807) | [id: 0x9ab4e84e, L:/192.168.3.112:57606 - R:/1.15.226.19:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-08-29 13:11:19] ChannelHandler.userEventTriggered(73) |  handshake success, host: 1.15.226.19, port: 20201, ctx: 2069897879
[DEBUG] [2021-08-29 13:11:19] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 1.15.226.19:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x9ab4e84e, L:/192.168.3.112:57606 - R:/1.15.226.19:20201])
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 1.15.226.19:20201
[INFO] [2021-08-29 13:11:19] ConnectionManager.reconnect(197) |  reconnect to 1.15.226.19:20201 success
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 35, nodeWithLatestBlockNumber:[1.15.226.19:20200]
[DEBUG] [2021-08-29 13:11:19] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:1.15.226.19:20200, blockNumber: 35
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 02124963789f4b80bed9036c21896687, msgType : 18
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20200, seq : 30ef8ad42f3a4cdf8003a11b03baf845, msgType : 18
[INFO] [2021-08-29 13:11:19] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":7,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-08-29 13:11:19] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 783c2750c3324904adb1f6f605fcf3ad, msgType : 20
[INFO] [2021-08-29 13:11:19] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 1.15.226.19:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-08-29 13:11:19] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 1.15.226.19:20201
[INFO] [2021-08-29 13:11:19] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:1.15.226.19:20201
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 20b3cefe05d4489a83b54c919d9dbd2f, msgType : 18
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.insertNode(84) | g:1, insertNode=1.15.226.19:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-08-29 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 1.15.226.19:20201, seq : 6a7b92fa014541758152a121ec2d8e8d, msgType : 18
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 1.15.226.19:20201, updated blockNumber: 35, groupId: 1
[DEBUG] [2021-08-29 13:11:19] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 35, nodeWithLatestBlockNumber:[1.15.226.19:20200, 1.15.226.19:20201]
[DEBUG] [2021-08-29 13:11:19] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:1.15.226.19:20201, blockNumber: 35
[DEBUG] [2021-08-29 13:11:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 1.15.226.19:20201, groupInfo: [1]
